title,price,rating,reviews,brand,ram,storage,processor,windows,screen_size,color
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED,14"",Windows 11, Office24,M365 Basic (1Yr)*, Matte Gray,1.4Kg, M3407KA-SF049WS,50 Tops,Metallic Design,Next-Gen AI Laptop,Copilot+",83990.0,3.8,,ASUS,16GB,1TB SSD,,Windows 11,14,Gray
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.35kg, he0014QU, Light-Weight, Next-Gen AI Laptop",66990.0,4.1,,HP,,512GB SSD,,Windows 11,14,Silver
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",12990.0,3.0,,BrowseBook,4GB,128GB SSD,,Windows 11,14.1,Grey
"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black",10990.0,5.0,,EBook,,,,Windows 11,11.6,Black
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",41990.0,4.1,,HP,,512GB SSD,i3,Windows 11,15.6,Silver
"JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue",10990.0,2.9,,JioBook,4GB,,,,11.6,Blue
"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop",36990.0,4.0,,HP,,512GB SSD,Ryzen 3,Windows 11,15.6,Silver
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Mixed Black, 1.38 kg, E1404FA-NK3325WS, AMD Radeon iGPU, M365 Basic (1Year)*, Thin & Light Laptop",34790.0,4.1,,ASUS,8GB,512GB SSD,Ryzen 3,Windows 11,14,Black
"HP 15 Consumer Series Laptop, Intel Core i3-1315U (13th Gen) 12GB DDR4 RAM,512GB NVMe SSD/ 15.6'' FHD Anti-Glare, Micro-Edge, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, FHD Camera with Shutter",41990.0,4.1,,HP,,,i3,Windows 11,15.6,Silver
"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg, 83CCA08KIN",44990.0,3.9,,Lenovo,16GB,512GB SSD,i3,Windows 11,15.6,Grey
"Dell 15, Intel Core i5 13th Gen-1334U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Grey, 1.66kg, [Vostro 3530], 120Hz 250 nits, 15 Month McAfee, Thin & Light, Laptop",56990.0,3.7,,Dell,,512GB SSD,i5,Windows 11,15.6,Grey
"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11, Office H&S 2024, Carbon Black, 1.63Kg, [Dell 15], Intel UHD Graphics, 120Hz 250 nit, Thin & Light, Laptop",44326.0,3.9,,Dell,,512GB SSD,,Windows 11,15.6,Black
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",15990.0,3.9,,Lenovo,4GB,,,,11.6,Blue
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",51328.0,4.2,,Lenovo,,512GB SSD,i5,Windows 11,15.6,Grey
"acer Aspire 3, Intel Core Celeron N4500, 12GB LPDDR4X RAM, 512GB SSD, HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45, Thin and Light Laptop",31999.0,3.4,,acer,,512GB SSD,,Windows 11,15.6,Silver
"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display, MSO 24, Black, 1.46kg, DQ3149TU Thin and Light Business Laptop",28550.0,3.4,,HP,,512GB SSD,,Windows 11,14.0,Black
"Dell 15, Intel Core i5 13th Gen-1334U, 16GB RAM, 1TB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Silver, 1.62kg, [Dell 15], Backlit Keyboard, 15 Month McAfee, Thin & Light, Laptop",57926.0,3.7,,Dell,16GB,1TB SSD,i5,Windows 11,15.6,Silver
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",48990.0,4.3,,ASUS,16GB,512GB SSD,Ryzen 7,Windows 11,15.6,Blue
"ASUS Vivobook 15 (2025), 13th Gen,Intel Core i3-1315U, 8GB RAM, 512GB SSD, FHD, 15.6"", 39.6 cm, Windows 11 Home,M365 Basic(1 Year)* Office 2024,Cool Silver,1.7 Kg, X1504VA-D5321WS, Thin & Light Laptop",37877.0,5.0,,ASUS,8GB,512GB SSD,i3,Windows 11,15.6,Silver
"ASUS Vivobook 16X, 16"" FHD+ (1920 x 1200), Intel Core i5-13420H, (16GB RAM/512GB SSD/RTX 3050/Windows 11/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.80 kg), K3605VC-RP413WS",61590.0,3.6,,ASUS,16GB,512GB SSD,i5,Windows 11,16,Silver
"acer Aspire Lite, Intel Core 5 210H Processor, 16 GB RAM, 512 GB SSD, Full HD IPS, 15.6""/39.62 cm, Windows 11 Home, MSO, Pure Silver, 1.70 kgs, AL15-52H, Backlit Keyboard, Thin and Light Laptop",54999.0,4.0,,acer,16GB,512 GB SSD,,Windows 11,15.6,Silver
"MSI Thin 15, Intel 13th Gen. Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN",60625.0,4.2,,MSI,,,i5,Windows 11,,Gray
"acer Aspire Go 14,14th Gen, Intel Core Ultra 5 125H, 16GB DDR5, 512GB, WUXGA IPS, 14.0""/35.56cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M, Backlit KB, AI Powered Laptop",54427.0,3.6,,acer,,,,Windows 11,14.0,Gray
"Dell 15, Intel Core i3 13th Gen -1305U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, Office H&S 2024, Carbon Grey, 1.66Kg, [Vostro 3530], Intel UHD Graphics, Narrow Border, Thin & Light Laptop",42990.0,3.9,,Dell,,512GB SSD,i3,Windows 11,15.6,Grey
"ASUS Vivobook 14, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Cool Silver, 1.40kg, X1404VA-NK761WS, Intel UHD, M365 Basic (1Year)*, Backlit Keyboard Laptop",36790.0,3.9,,ASUS,8GB,512GB SSD,i3,Windows 11,14,Silver
